2025-11-03 09:17:46 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:17:46 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:17:46 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:17:46 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:17:46 | app.services.recomendacao_service | INFO | Buscando categoria 'Eletrônicos'...
2025-11-03 09:17:47 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:17:47 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:17:47 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:17:47 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:17:47 | app.services.recomendacao_service | INFO | Buscando categoria 'Eletrônicos'...
2025-11-03 09:18:53 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:18:53 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:18:53 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:18:53 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:18:53 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:18:53 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0001s
2025-11-03 09:18:53 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0003s.
2025-11-03 09:18:55 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:18:55 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:18:55 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:18:55 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:18:55 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:18:55 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0002s
2025-11-03 09:18:55 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0004s.
2025-11-03 09:20:21 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:20:21 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:20:21 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:20:21 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:20:21 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:20:21 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0002s
2025-11-03 09:20:21 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0003s.
2025-11-03 09:20:32 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:20:32 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:20:32 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:20:32 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:20:32 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:20:32 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0002s
2025-11-03 09:20:32 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0004s.
2025-11-03 09:20:34 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:20:34 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:20:34 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:20:34 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:20:34 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:20:34 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0002s
2025-11-03 09:20:34 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0003s.
2025-11-03 09:21:30 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:21:30 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:21:30 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:21:30 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:21:30 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:21:30 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0002s
2025-11-03 09:21:30 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0003s.
2025-11-03 09:22:44 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:22:44 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:22:44 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:22:44 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:22:44 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:22:44 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0002s
2025-11-03 09:22:44 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0003s.
2025-11-03 09:27:47 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:27:47 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:27:47 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:27:47 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:27:47 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:27:47 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0001s
2025-11-03 09:27:47 | app.services.recomendacao_service | INFO | Recomendação concluída: 3 produtos em 0.0003s.
2025-11-03 09:33:04 | app.services.recomendacao_service | INFO | Construindo índices de produtos...
2025-11-03 09:33:04 | app.services.recomendacao_service | INFO | Índices construídos com sucesso: 3 produtos indexados.
2025-11-03 09:33:04 | app.services.recomendacao_service | INFO | Sugestão 'Fo': 1 resultados em 0.0000s.
2025-11-03 09:33:04 | TestRecomendacao | INFO | Sugestões para 'Fo': [{'nome': 'Fone JBL', 'categoria': 'Eletrônicos'}]
2025-11-03 09:33:04 | app.services.recomendacao_service | INFO | Gerando recomendações para 'Eletrônicos'...
2025-11-03 09:33:04 | app.services.recomendacao_service | INFO | Buscando categoria: Eletrônicos
2025-11-03 09:33:04 | app.services.recomendacao_service | INFO | Categoria 'Eletrônicos' encontrada em 0.0001s
